resturant_id,rest_name,total_revenue,revenue_rank
48,"Fresh Garden",129650.35,1
47,"Spice Kitchen",114328.96,2
1,"Fresh Hub",89213.84,3
15,"Golden Garden",85065.36,4
23,"Happy Corner",83193.87,5
36,"Flavors Diner",80173.37,6
35,"Tasty Diner",79533.66,7
26,"Fresh Caf̩",78209.64,8
21,"Tasty Bistro",72445.76,9
43,"Happy Grill",72342.64,10
30,"Flavors Table",70871.94,11
16,"Royal Palace",70480.53,12
49,"Happy Kitchen",69830.01,13
27,"Big Table",67433.63,14
33,"Golden Kitchen",67241.75,15
50,"Little Corner",67047.72,16
45,"Golden Garden",66677.87,17
6,"Tasty Bistro",65037.79,18
42,"Happy Diner",64599.10,19
5,"Happy Garden",64537.18,20
11,"Golden Bistro",63731.89,21
10,"Flavors Corner",62370.15,22
8,"Royal Garden",62229.07,23
44,"Spice Garden",59226.21,24
22,"Fresh Hub",56682.76,25
12,"Royal Garden",55449.66,26
20,"Royal Corner",55430.78,27
25,"Tasty Palace",54564.31,28
46,"Big Diner",54158.36,29
18,"Little Palace",52165.12,30
3,"Big Corner",49946.66,31
41,"Spice Palace",49484.74,32
24,"Flavors Kitchen",49363.93,33
40,"Happy Corner",45334.20,34
7,"Big Table",38146.59,35
37,"Golden Table",37143.24,36
38,"Flavors Kitchen",36674.48,37
14,"Golden Garden",36312.96,38
17,"Fresh Palace",35824.68,39
39,"Royal Kitchen",34911.03,40
9,"Fresh Palace",31050.51,41
29,"Flavors Corner",29840.41,42
19,"Golden Diner",28235.76,43
13,"Flavors Palace",27478.72,44
34,"Urban Corner",26012.44,45
4,"Royal Hub",24367.91,46
28,"Little Palace",24344.80,47
31,"Royal Grill",21898.33,48
2,"Big Diner",21145.12,49
32,"Spice Palace",19781.29,50
